Metric,Amount,Currency,Date,Context 1,Context 2,Context 3,Context 4,Context 5,Context 6,Context 7,Context 8,Context 9,Context 10,Context 11,Context 12,Context 13,Context 14,Context 15,Context 16,Context 17,Context 18,Context 19,Context 20,Context 21,Context 22,Context 23,Context 24,Context 25,Context 26,Context 27,Context 28,Context 29,Context 30,Context 31,Context 32,Context 33,Context 34,Context 35,Context 36,Context 37,Context 38,Context 39,Context 40,Context 41,Context 42,Context 43,Context 44,Context 45,Context 46,Context 47,Context 48,Context 49,Context 50,Context 51
Monthly revenue,100042,NZD,2026-05-31,value-42-1,value-42-2,value-42-3,value-42-4,value-42-5,value-42-6,value-42-7,value-42-8,value-42-9,value-42-10,value-42-11,value-42-12,value-42-13,value-42-14,value-42-15,value-42-16,value-42-17,value-42-18,value-42-19,value-42-20,value-42-21,value-42-22,value-42-23,value-42-24,value-42-25,value-42-26,value-42-27,value-42-28,value-42-29,value-42-30,value-42-31,value-42-32,value-42-33,value-42-34,value-42-35,value-42-36,value-42-37,value-42-38,value-42-39,value-42-40,value-42-41,value-42-42,value-42-43,value-42-44,value-42-45,value-42-46,value-42-47,value-42-48,value-42-49,value-42-50,value-42-51
Cash at bank,100043,NZD,2026-05-31,value-43-1,value-43-2,value-43-3,value-43-4,value-43-5,value-43-6,value-43-7,value-43-8,value-43-9,value-43-10,value-43-11,value-43-12,value-43-13,value-43-14,value-43-15,value-43-16,value-43-17,value-43-18,value-43-19,value-43-20,value-43-21,value-43-22,value-43-23,value-43-24,value-43-25,value-43-26,value-43-27,value-43-28,value-43-29,value-43-30,value-43-31,value-43-32,value-43-33,value-43-34,value-43-35,value-43-36,value-43-37,value-43-38,value-43-39,value-43-40,value-43-41,value-43-42,value-43-43,value-43-44,value-43-45,value-43-46,value-43-47,value-43-48,value-43-49,value-43-50,value-43-51
Monthly revenue,100044,NZD,2026-05-31,value-44-1,value-44-2,value-44-3,value-44-4,value-44-5,value-44-6,value-44-7,value-44-8,value-44-9,value-44-10,value-44-11,value-44-12,value-44-13,value-44-14,value-44-15,value-44-16,value-44-17,value-44-18,value-44-19,value-44-20,value-44-21,value-44-22,value-44-23,value-44-24,value-44-25,value-44-26,value-44-27,value-44-28,value-44-29,value-44-30,value-44-31,value-44-32,value-44-33,value-44-34,value-44-35,value-44-36,value-44-37,value-44-38,value-44-39,value-44-40,value-44-41,value-44-42,value-44-43,value-44-44,value-44-45,value-44-46,value-44-47,value-44-48,value-44-49,value-44-50,value-44-51
Cash at bank,100045,NZD,2026-05-31,value-45-1,value-45-2,value-45-3,value-45-4,value-45-5,value-45-6,value-45-7,value-45-8,value-45-9,value-45-10,value-45-11,value-45-12,value-45-13,value-45-14,value-45-15,value-45-16,value-45-17,value-45-18,value-45-19,value-45-20,value-45-21,value-45-22,value-45-23,value-45-24,value-45-25,value-45-26,value-45-27,value-45-28,value-45-29,value-45-30,value-45-31,value-45-32,value-45-33,value-45-34,value-45-35,value-45-36,value-45-37,value-45-38,value-45-39,value-45-40,value-45-41,value-45-42,value-45-43,value-45-44,value-45-45,value-45-46,value-45-47,value-45-48,value-45-49,value-45-50,value-45-51
Monthly revenue,100046,NZD,2026-05-31,value-46-1,value-46-2,value-46-3,value-46-4,value-46-5,value-46-6,value-46-7,value-46-8,value-46-9,value-46-10,value-46-11,value-46-12,value-46-13,value-46-14,value-46-15,value-46-16,value-46-17,value-46-18,value-46-19,value-46-20,value-46-21,value-46-22,value-46-23,value-46-24,value-46-25,value-46-26,value-46-27,value-46-28,value-46-29,value-46-30,value-46-31,value-46-32,value-46-33,value-46-34,value-46-35,value-46-36,value-46-37,value-46-38,value-46-39,value-46-40,value-46-41,value-46-42,value-46-43,value-46-44,value-46-45,value-46-46,value-46-47,value-46-48,value-46-49,value-46-50,value-46-51
Cash at bank,100047,NZD,2026-05-31,value-47-1,value-47-2,value-47-3,value-47-4,value-47-5,value-47-6,value-47-7,value-47-8,value-47-9,value-47-10,value-47-11,value-47-12,value-47-13,value-47-14,value-47-15,value-47-16,value-47-17,value-47-18,value-47-19,value-47-20,value-47-21,value-47-22,value-47-23,value-47-24,value-47-25,value-47-26,value-47-27,value-47-28,value-47-29,value-47-30,value-47-31,value-47-32,value-47-33,value-47-34,value-47-35,value-47-36,value-47-37,value-47-38,value-47-39,value-47-40,value-47-41,value-47-42,value-47-43,value-47-44,value-47-45,value-47-46,value-47-47,value-47-48,value-47-49,value-47-50,value-47-51
Monthly revenue,100048,NZD,2026-05-31,value-48-1,value-48-2,value-48-3,value-48-4,value-48-5,value-48-6,value-48-7,value-48-8,value-48-9,value-48-10,value-48-11,value-48-12,value-48-13,value-48-14,value-48-15,value-48-16,value-48-17,value-48-18,value-48-19,value-48-20,value-48-21,value-48-22,value-48-23,value-48-24,value-48-25,value-48-26,value-48-27,value-48-28,value-48-29,value-48-30,value-48-31,value-48-32,value-48-33,value-48-34,value-48-35,value-48-36,value-48-37,value-48-38,value-48-39,value-48-40,value-48-41,value-48-42,value-48-43,value-48-44,value-48-45,value-48-46,value-48-47,value-48-48,value-48-49,value-48-50,value-48-51
Cash at bank,100049,NZD,2026-05-31,value-49-1,value-49-2,value-49-3,value-49-4,value-49-5,value-49-6,value-49-7,value-49-8,value-49-9,value-49-10,value-49-11,value-49-12,value-49-13,value-49-14,value-49-15,value-49-16,value-49-17,value-49-18,value-49-19,value-49-20,value-49-21,value-49-22,value-49-23,value-49-24,value-49-25,value-49-26,value-49-27,value-49-28,value-49-29,value-49-30,value-49-31,value-49-32,value-49-33,value-49-34,value-49-35,value-49-36,value-49-37,value-49-38,value-49-39,value-49-40,value-49-41,value-49-42,value-49-43,value-49-44,value-49-45,value-49-46,value-49-47,value-49-48,value-49-49,value-49-50,value-49-51
Monthly revenue,100050,NZD,2026-05-31,value-50-1,value-50-2,value-50-3,value-50-4,value-50-5,value-50-6,value-50-7,value-50-8,value-50-9,value-50-10,value-50-11,value-50-12,value-50-13,value-50-14,value-50-15,value-50-16,value-50-17,value-50-18,value-50-19,value-50-20,value-50-21,value-50-22,value-50-23,value-50-24,value-50-25,value-50-26,value-50-27,value-50-28,value-50-29,value-50-30,value-50-31,value-50-32,value-50-33,value-50-34,value-50-35,value-50-36,value-50-37,value-50-38,value-50-39,value-50-40,value-50-41,value-50-42,value-50-43,value-50-44,value-50-45,value-50-46,value-50-47,value-50-48,value-50-49,value-50-50,value-50-51
Cash at bank,100051,NZD,2026-05-31,value-51-1,value-51-2,value-51-3,value-51-4,value-51-5,value-51-6,value-51-7,value-51-8,value-51-9,value-51-10,value-51-11,value-51-12,value-51-13,value-51-14,value-51-15,value-51-16,value-51-17,value-51-18,value-51-19,value-51-20,value-51-21,value-51-22,value-51-23,value-51-24,value-51-25,value-51-26,value-51-27,value-51-28,value-51-29,value-51-30,value-51-31,value-51-32,value-51-33,value-51-34,value-51-35,value-51-36,value-51-37,value-51-38,value-51-39,value-51-40,value-51-41,value-51-42,value-51-43,value-51-44,value-51-45,value-51-46,value-51-47,value-51-48,value-51-49,value-51-50,value-51-51
Monthly revenue,100052,NZD,2026-05-31,value-52-1,value-52-2,value-52-3,value-52-4,value-52-5,value-52-6,value-52-7,value-52-8,value-52-9,value-52-10,value-52-11,value-52-12,value-52-13,value-52-14,value-52-15,value-52-16,value-52-17,value-52-18,value-52-19,value-52-20,value-52-21,value-52-22,value-52-23,value-52-24,value-52-25,value-52-26,value-52-27,value-52-28,value-52-29,value-52-30,value-52-31,value-52-32,value-52-33,value-52-34,value-52-35,value-52-36,value-52-37,value-52-38,value-52-39,value-52-40,value-52-41,value-52-42,value-52-43,value-52-44,value-52-45,value-52-46,value-52-47,value-52-48,value-52-49,value-52-50,value-52-51
Cash at bank,100053,NZD,2026-05-31,value-53-1,value-53-2,value-53-3,value-53-4,value-53-5,value-53-6,value-53-7,value-53-8,value-53-9,value-53-10,value-53-11,value-53-12,value-53-13,value-53-14,value-53-15,value-53-16,value-53-17,value-53-18,value-53-19,value-53-20,value-53-21,value-53-22,value-53-23,value-53-24,value-53-25,value-53-26,value-53-27,value-53-28,value-53-29,value-53-30,value-53-31,value-53-32,value-53-33,value-53-34,value-53-35,value-53-36,value-53-37,value-53-38,value-53-39,value-53-40,value-53-41,value-53-42,value-53-43,value-53-44,value-53-45,value-53-46,value-53-47,value-53-48,value-53-49,value-53-50,value-53-51
Monthly revenue,100054,NZD,2026-05-31,value-54-1,value-54-2,value-54-3,value-54-4,value-54-5,value-54-6,value-54-7,value-54-8,value-54-9,value-54-10,value-54-11,value-54-12,value-54-13,value-54-14,value-54-15,value-54-16,value-54-17,value-54-18,value-54-19,value-54-20,value-54-21,value-54-22,value-54-23,value-54-24,value-54-25,value-54-26,value-54-27,value-54-28,value-54-29,value-54-30,value-54-31,value-54-32,value-54-33,value-54-34,value-54-35,value-54-36,value-54-37,value-54-38,value-54-39,value-54-40,value-54-41,value-54-42,value-54-43,value-54-44,value-54-45,value-54-46,value-54-47,value-54-48,value-54-49,value-54-50,value-54-51
Cash at bank,100055,NZD,2026-05-31,value-55-1,value-55-2,value-55-3,value-55-4,value-55-5,value-55-6,value-55-7,value-55-8,value-55-9,value-55-10,value-55-11,value-55-12,value-55-13,value-55-14,value-55-15,value-55-16,value-55-17,value-55-18,value-55-19,value-55-20,value-55-21,value-55-22,value-55-23,value-55-24,value-55-25,value-55-26,value-55-27,value-55-28,value-55-29,value-55-30,value-55-31,value-55-32,value-55-33,value-55-34,value-55-35,value-55-36,value-55-37,value-55-38,value-55-39,value-55-40,value-55-41,value-55-42,value-55-43,value-55-44,value-55-45,value-55-46,value-55-47,value-55-48,value-55-49,value-55-50,value-55-51
Monthly revenue,100056,NZD,2026-05-31,value-56-1,value-56-2,value-56-3,value-56-4,value-56-5,value-56-6,value-56-7,value-56-8,value-56-9,value-56-10,value-56-11,value-56-12,value-56-13,value-56-14,value-56-15,value-56-16,value-56-17,value-56-18,value-56-19,value-56-20,value-56-21,value-56-22,value-56-23,value-56-24,value-56-25,value-56-26,value-56-27,value-56-28,value-56-29,value-56-30,value-56-31,value-56-32,value-56-33,value-56-34,value-56-35,value-56-36,value-56-37,value-56-38,value-56-39,value-56-40,value-56-41,value-56-42,value-56-43,value-56-44,value-56-45,value-56-46,value-56-47,value-56-48,value-56-49,value-56-50,value-56-51
Cash at bank,100057,NZD,2026-05-31,value-57-1,value-57-2,value-57-3,value-57-4,value-57-5,value-57-6,value-57-7,value-57-8,value-57-9,value-57-10,value-57-11,value-57-12,value-57-13,value-57-14,value-57-15,value-57-16,value-57-17,value-57-18,value-57-19,value-57-20,value-57-21,value-57-22,value-57-23,value-57-24,value-57-25,value-57-26,value-57-27,value-57-28,value-57-29,value-57-30,value-57-31,value-57-32,value-57-33,value-57-34,value-57-35,value-57-36,value-57-37,value-57-38,value-57-39,value-57-40,value-57-41,value-57-42,value-57-43,value-57-44,value-57-45,value-57-46,value-57-47,value-57-48,value-57-49,value-57-50,value-57-51
Monthly revenue,100058,NZD,2026-05-31,value-58-1,value-58-2,value-58-3,value-58-4,value-58-5,value-58-6,value-58-7,value-58-8,value-58-9,value-58-10,value-58-11,value-58-12,value-58-13,value-58-14,value-58-15,value-58-16,value-58-17,value-58-18,value-58-19,value-58-20,value-58-21,value-58-22,value-58-23,value-58-24,value-58-25,value-58-26,value-58-27,value-58-28,value-58-29,value-58-30,value-58-31,value-58-32,value-58-33,value-58-34,value-58-35,value-58-36,value-58-37,value-58-38,value-58-39,value-58-40,value-58-41,value-58-42,value-58-43,value-58-44,value-58-45,value-58-46,value-58-47,value-58-48,value-58-49,value-58-50,value-58-51
Cash at bank,100059,NZD,2026-05-31,value-59-1,value-59-2,value-59-3,value-59-4,value-59-5,value-59-6,value-59-7,value-59-8,value-59-9,value-59-10,value-59-11,value-59-12,value-59-13,value-59-14,value-59-15,value-59-16,value-59-17,value-59-18,value-59-19,value-59-20,value-59-21,value-59-22,value-59-23,value-59-24,value-59-25,value-59-26,value-59-27,value-59-28,value-59-29,value-59-30,value-59-31,value-59-32,value-59-33,value-59-34,value-59-35,value-59-36,value-59-37,value-59-38,value-59-39,value-59-40,value-59-41,value-59-42,value-59-43,value-59-44,value-59-45,value-59-46,value-59-47,value-59-48,value-59-49,value-59-50,value-59-51
Monthly revenue,100060,NZD,2026-05-31,value-60-1,value-60-2,value-60-3,value-60-4,value-60-5,value-60-6,value-60-7,value-60-8,value-60-9,value-60-10,value-60-11,value-60-12,value-60-13,value-60-14,value-60-15,value-60-16,value-60-17,value-60-18,value-60-19,value-60-20,value-60-21,value-60-22,value-60-23,value-60-24,value-60-25,value-60-26,value-60-27,value-60-28,value-60-29,value-60-30,value-60-31,value-60-32,value-60-33,value-60-34,value-60-35,value-60-36,value-60-37,value-60-38,value-60-39,value-60-40,value-60-41,value-60-42,value-60-43,value-60-44,value-60-45,value-60-46,value-60-47,value-60-48,value-60-49,value-60-50,value-60-51
Cash at bank,100061,NZD,2026-05-31,value-61-1,value-61-2,value-61-3,value-61-4,value-61-5,value-61-6,value-61-7,value-61-8,value-61-9,value-61-10,value-61-11,value-61-12,value-61-13,value-61-14,value-61-15,value-61-16,value-61-17,value-61-18,value-61-19,value-61-20,value-61-21,value-61-22,value-61-23,value-61-24,value-61-25,value-61-26,value-61-27,value-61-28,value-61-29,value-61-30,value-61-31,value-61-32,value-61-33,value-61-34,value-61-35,value-61-36,value-61-37,value-61-38,value-61-39,value-61-40,value-61-41,value-61-42,value-61-43,value-61-44,value-61-45,value-61-46,value-61-47,value-61-48,value-61-49,value-61-50,value-61-51
Monthly revenue,100062,NZD,2026-05-31,value-62-1,value-62-2,value-62-3,value-62-4,value-62-5,value-62-6,value-62-7,value-62-8,value-62-9,value-62-10,value-62-11,value-62-12,value-62-13,value-62-14,value-62-15,value-62-16,value-62-17,value-62-18,value-62-19,value-62-20,value-62-21,value-62-22,value-62-23,value-62-24,value-62-25,value-62-26,value-62-27,value-62-28,value-62-29,value-62-30,value-62-31,value-62-32,value-62-33,value-62-34,value-62-35,value-62-36,value-62-37,value-62-38,value-62-39,value-62-40,value-62-41,value-62-42,value-62-43,value-62-44,value-62-45,value-62-46,value-62-47,value-62-48,value-62-49,value-62-50,value-62-51
Cash at bank,100063,NZD,2026-05-31,value-63-1,value-63-2,value-63-3,value-63-4,value-63-5,value-63-6,value-63-7,value-63-8,value-63-9,value-63-10,value-63-11,value-63-12,value-63-13,value-63-14,value-63-15,value-63-16,value-63-17,value-63-18,value-63-19,value-63-20,value-63-21,value-63-22,value-63-23,value-63-24,value-63-25,value-63-26,value-63-27,value-63-28,value-63-29,value-63-30,value-63-31,value-63-32,value-63-33,value-63-34,value-63-35,value-63-36,value-63-37,value-63-38,value-63-39,value-63-40,value-63-41,value-63-42,value-63-43,value-63-44,value-63-45,value-63-46,value-63-47,value-63-48,value-63-49,value-63-50,value-63-51
Monthly revenue,100064,NZD,2026-05-31,value-64-1,value-64-2,value-64-3,value-64-4,value-64-5,value-64-6,value-64-7,value-64-8,value-64-9,value-64-10,value-64-11,value-64-12,value-64-13,value-64-14,value-64-15,value-64-16,value-64-17,value-64-18,value-64-19,value-64-20,value-64-21,value-64-22,value-64-23,value-64-24,value-64-25,value-64-26,value-64-27,value-64-28,value-64-29,value-64-30,value-64-31,value-64-32,value-64-33,value-64-34,value-64-35,value-64-36,value-64-37,value-64-38,value-64-39,value-64-40,value-64-41,value-64-42,value-64-43,value-64-44,value-64-45,value-64-46,value-64-47,value-64-48,value-64-49,value-64-50,value-64-51
Cash at bank,100065,NZD,2026-05-31,value-65-1,value-65-2,value-65-3,value-65-4,value-65-5,value-65-6,value-65-7,value-65-8,value-65-9,value-65-10,value-65-11,value-65-12,value-65-13,value-65-14,value-65-15,value-65-16,value-65-17,value-65-18,value-65-19,value-65-20,value-65-21,value-65-22,value-65-23,value-65-24,value-65-25,value-65-26,value-65-27,value-65-28,value-65-29,value-65-30,value-65-31,value-65-32,value-65-33,value-65-34,value-65-35,value-65-36,value-65-37,value-65-38,value-65-39,value-65-40,value-65-41,value-65-42,value-65-43,value-65-44,value-65-45,value-65-46,value-65-47,value-65-48,value-65-49,value-65-50,value-65-51
Monthly revenue,100066,NZD,2026-05-31,value-66-1,value-66-2,value-66-3,value-66-4,value-66-5,value-66-6,value-66-7,value-66-8,value-66-9,value-66-10,value-66-11,value-66-12,value-66-13,value-66-14,value-66-15,value-66-16,value-66-17,value-66-18,value-66-19,value-66-20,value-66-21,value-66-22,value-66-23,value-66-24,value-66-25,value-66-26,value-66-27,value-66-28,value-66-29,value-66-30,value-66-31,value-66-32,value-66-33,value-66-34,value-66-35,value-66-36,value-66-37,value-66-38,value-66-39,value-66-40,value-66-41,value-66-42,value-66-43,value-66-44,value-66-45,value-66-46,value-66-47,value-66-48,value-66-49,value-66-50,value-66-51
Cash at bank,100067,NZD,2026-05-31,value-67-1,value-67-2,value-67-3,value-67-4,value-67-5,value-67-6,value-67-7,value-67-8,value-67-9,value-67-10,value-67-11,value-67-12,value-67-13,value-67-14,value-67-15,value-67-16,value-67-17,value-67-18,value-67-19,value-67-20,value-67-21,value-67-22,value-67-23,value-67-24,value-67-25,value-67-26,value-67-27,value-67-28,value-67-29,value-67-30,value-67-31,value-67-32,value-67-33,value-67-34,value-67-35,value-67-36,value-67-37,value-67-38,value-67-39,value-67-40,value-67-41,value-67-42,value-67-43,value-67-44,value-67-45,value-67-46,value-67-47,value-67-48,value-67-49,value-67-50,value-67-51
Monthly revenue,100068,NZD,2026-05-31,value-68-1,value-68-2,value-68-3,value-68-4,value-68-5,value-68-6,value-68-7,value-68-8,value-68-9,value-68-10,value-68-11,value-68-12,value-68-13,value-68-14,value-68-15,value-68-16,value-68-17,value-68-18,value-68-19,value-68-20,value-68-21,value-68-22,value-68-23,value-68-24,value-68-25,value-68-26,value-68-27,value-68-28,value-68-29,value-68-30,value-68-31,value-68-32,value-68-33,value-68-34,value-68-35,value-68-36,value-68-37,value-68-38,value-68-39,value-68-40,value-68-41,value-68-42,value-68-43,value-68-44,value-68-45,value-68-46,value-68-47,value-68-48,value-68-49,value-68-50,value-68-51
Cash at bank,100069,NZD,2026-05-31,value-69-1,value-69-2,value-69-3,value-69-4,value-69-5,value-69-6,value-69-7,value-69-8,value-69-9,value-69-10,value-69-11,value-69-12,value-69-13,value-69-14,value-69-15,value-69-16,value-69-17,value-69-18,value-69-19,value-69-20,value-69-21,value-69-22,value-69-23,value-69-24,value-69-25,value-69-26,value-69-27,value-69-28,value-69-29,value-69-30,value-69-31,value-69-32,value-69-33,value-69-34,value-69-35,value-69-36,value-69-37,value-69-38,value-69-39,value-69-40,value-69-41,value-69-42,value-69-43,value-69-44,value-69-45,value-69-46,value-69-47,value-69-48,value-69-49,value-69-50,value-69-51
Monthly revenue,100070,NZD,2026-05-31,value-70-1,value-70-2,value-70-3,value-70-4,value-70-5,value-70-6,value-70-7,value-70-8,value-70-9,value-70-10,value-70-11,value-70-12,value-70-13,value-70-14,value-70-15,value-70-16,value-70-17,value-70-18,value-70-19,value-70-20,value-70-21,value-70-22,value-70-23,value-70-24,value-70-25,value-70-26,value-70-27,value-70-28,value-70-29,value-70-30,value-70-31,value-70-32,value-70-33,value-70-34,value-70-35,value-70-36,value-70-37,value-70-38,value-70-39,value-70-40,value-70-41,value-70-42,value-70-43,value-70-44,value-70-45,value-70-46,value-70-47,value-70-48,value-70-49,value-70-50,value-70-51
Cash at bank,100071,NZD,2026-05-31,value-71-1,value-71-2,value-71-3,value-71-4,value-71-5,value-71-6,value-71-7,value-71-8,value-71-9,value-71-10,value-71-11,value-71-12,value-71-13,value-71-14,value-71-15,value-71-16,value-71-17,value-71-18,value-71-19,value-71-20,value-71-21,value-71-22,value-71-23,value-71-24,value-71-25,value-71-26,value-71-27,value-71-28,value-71-29,value-71-30,value-71-31,value-71-32,value-71-33,value-71-34,value-71-35,value-71-36,value-71-37,value-71-38,value-71-39,value-71-40,value-71-41,value-71-42,value-71-43,value-71-44,value-71-45,value-71-46,value-71-47,value-71-48,value-71-49,value-71-50,value-71-51
Monthly revenue,100072,NZD,2026-05-31,value-72-1,value-72-2,value-72-3,value-72-4,value-72-5,value-72-6,value-72-7,value-72-8,value-72-9,value-72-10,value-72-11,value-72-12,value-72-13,value-72-14,value-72-15,value-72-16,value-72-17,value-72-18,value-72-19,value-72-20,value-72-21,value-72-22,value-72-23,value-72-24,value-72-25,value-72-26,value-72-27,value-72-28,value-72-29,value-72-30,value-72-31,value-72-32,value-72-33,value-72-34,value-72-35,value-72-36,value-72-37,value-72-38,value-72-39,value-72-40,value-72-41,value-72-42,value-72-43,value-72-44,value-72-45,value-72-46,value-72-47,value-72-48,value-72-49,value-72-50,value-72-51
Cash at bank,100073,NZD,2026-05-31,value-73-1,value-73-2,value-73-3,value-73-4,value-73-5,value-73-6,value-73-7,value-73-8,value-73-9,value-73-10,value-73-11,value-73-12,value-73-13,value-73-14,value-73-15,value-73-16,value-73-17,value-73-18,value-73-19,value-73-20,value-73-21,value-73-22,value-73-23,value-73-24,value-73-25,value-73-26,value-73-27,value-73-28,value-73-29,value-73-30,value-73-31,value-73-32,value-73-33,value-73-34,value-73-35,value-73-36,value-73-37,value-73-38,value-73-39,value-73-40,value-73-41,value-73-42,value-73-43,value-73-44,value-73-45,value-73-46,value-73-47,value-73-48,value-73-49,value-73-50,value-73-51
Monthly revenue,100074,NZD,2026-05-31,value-74-1,value-74-2,value-74-3,value-74-4,value-74-5,value-74-6,value-74-7,value-74-8,value-74-9,value-74-10,value-74-11,value-74-12,value-74-13,value-74-14,value-74-15,value-74-16,value-74-17,value-74-18,value-74-19,value-74-20,value-74-21,value-74-22,value-74-23,value-74-24,value-74-25,value-74-26,value-74-27,value-74-28,value-74-29,value-74-30,value-74-31,value-74-32,value-74-33,value-74-34,value-74-35,value-74-36,value-74-37,value-74-38,value-74-39,value-74-40,value-74-41,value-74-42,value-74-43,value-74-44,value-74-45,value-74-46,value-74-47,value-74-48,value-74-49,value-74-50,value-74-51
Cash at bank,100075,NZD,2026-05-31,value-75-1,value-75-2,value-75-3,value-75-4,value-75-5,value-75-6,value-75-7,value-75-8,value-75-9,value-75-10,value-75-11,value-75-12,value-75-13,value-75-14,value-75-15,value-75-16,value-75-17,value-75-18,value-75-19,value-75-20,value-75-21,value-75-22,value-75-23,value-75-24,value-75-25,value-75-26,value-75-27,value-75-28,value-75-29,value-75-30,value-75-31,value-75-32,value-75-33,value-75-34,value-75-35,value-75-36,value-75-37,value-75-38,value-75-39,value-75-40,value-75-41,value-75-42,value-75-43,value-75-44,value-75-45,value-75-46,value-75-47,value-75-48,value-75-49,value-75-50,value-75-51
Monthly revenue,100076,NZD,2026-05-31,value-76-1,value-76-2,value-76-3,value-76-4,value-76-5,value-76-6,value-76-7,value-76-8,value-76-9,value-76-10,value-76-11,value-76-12,value-76-13,value-76-14,value-76-15,value-76-16,value-76-17,value-76-18,value-76-19,value-76-20,value-76-21,value-76-22,value-76-23,value-76-24,value-76-25,value-76-26,value-76-27,value-76-28,value-76-29,value-76-30,value-76-31,value-76-32,value-76-33,value-76-34,value-76-35,value-76-36,value-76-37,value-76-38,value-76-39,value-76-40,value-76-41,value-76-42,value-76-43,value-76-44,value-76-45,value-76-46,value-76-47,value-76-48,value-76-49,value-76-50,value-76-51
Cash at bank,100077,NZD,2026-05-31,value-77-1,value-77-2,value-77-3,value-77-4,value-77-5,value-77-6,value-77-7,value-77-8,value-77-9,value-77-10,value-77-11,value-77-12,value-77-13,value-77-14,value-77-15,value-77-16,value-77-17,value-77-18,value-77-19,value-77-20,value-77-21,value-77-22,value-77-23,value-77-24,value-77-25,value-77-26,value-77-27,value-77-28,value-77-29,value-77-30,value-77-31,value-77-32,value-77-33,value-77-34,value-77-35,value-77-36,value-77-37,value-77-38,value-77-39,value-77-40,value-77-41,value-77-42,value-77-43,value-77-44,value-77-45,value-77-46,value-77-47,value-77-48,value-77-49,value-77-50,value-77-51
Monthly revenue,100078,NZD,2026-05-31,value-78-1,value-78-2,value-78-3,value-78-4,value-78-5,value-78-6,value-78-7,value-78-8,value-78-9,value-78-10,value-78-11,value-78-12,value-78-13,value-78-14,value-78-15,value-78-16,value-78-17,value-78-18,value-78-19,value-78-20,value-78-21,value-78-22,value-78-23,value-78-24,value-78-25,value-78-26,value-78-27,value-78-28,value-78-29,value-78-30,value-78-31,value-78-32,value-78-33,value-78-34,value-78-35,value-78-36,value-78-37,value-78-38,value-78-39,value-78-40,value-78-41,value-78-42,value-78-43,value-78-44,value-78-45,value-78-46,value-78-47,value-78-48,value-78-49,value-78-50,value-78-51
Cash at bank,100079,NZD,2026-05-31,value-79-1,value-79-2,value-79-3,value-79-4,value-79-5,value-79-6,value-79-7,value-79-8,value-79-9,value-79-10,value-79-11,value-79-12,value-79-13,value-79-14,value-79-15,value-79-16,value-79-17,value-79-18,value-79-19,value-79-20,value-79-21,value-79-22,value-79-23,value-79-24,value-79-25,value-79-26,value-79-27,value-79-28,value-79-29,value-79-30,value-79-31,value-79-32,value-79-33,value-79-34,value-79-35,value-79-36,value-79-37,value-79-38,value-79-39,value-79-40,value-79-41,value-79-42,value-79-43,value-79-44,value-79-45,value-79-46,value-79-47,value-79-48,value-79-49,value-79-50,value-79-51
Monthly revenue,100080,NZD,2026-05-31,value-80-1,value-80-2,value-80-3,value-80-4,value-80-5,value-80-6,value-80-7,value-80-8,value-80-9,value-80-10,value-80-11,value-80-12,value-80-13,value-80-14,value-80-15,value-80-16,value-80-17,value-80-18,value-80-19,value-80-20,value-80-21,value-80-22,value-80-23,value-80-24,value-80-25,value-80-26,value-80-27,value-80-28,value-80-29,value-80-30,value-80-31,value-80-32,value-80-33,value-80-34,value-80-35,value-80-36,value-80-37,value-80-38,value-80-39,value-80-40,value-80-41,value-80-42,value-80-43,value-80-44,value-80-45,value-80-46,value-80-47,value-80-48,value-80-49,value-80-50,value-80-51
Cash at bank,100081,NZD,2026-05-31,value-81-1,value-81-2,value-81-3,value-81-4,value-81-5,value-81-6,value-81-7,value-81-8,value-81-9,value-81-10,value-81-11,value-81-12,value-81-13,value-81-14,value-81-15,value-81-16,value-81-17,value-81-18,value-81-19,value-81-20,value-81-21,value-81-22,value-81-23,value-81-24,value-81-25,value-81-26,value-81-27,value-81-28,value-81-29,value-81-30,value-81-31,value-81-32,value-81-33,value-81-34,value-81-35,value-81-36,value-81-37,value-81-38,value-81-39,value-81-40,value-81-41,value-81-42,value-81-43,value-81-44,value-81-45,value-81-46,value-81-47,value-81-48,value-81-49,value-81-50,value-81-51
Monthly revenue,100082,NZD,2026-05-31,value-82-1,value-82-2,value-82-3,value-82-4,value-82-5,value-82-6,value-82-7,value-82-8,value-82-9,value-82-10,value-82-11,value-82-12,value-82-13,value-82-14,value-82-15,value-82-16,value-82-17,value-82-18,value-82-19,value-82-20,value-82-21,value-82-22,value-82-23,value-82-24,value-82-25,value-82-26,value-82-27,value-82-28,value-82-29,value-82-30,value-82-31,value-82-32,value-82-33,value-82-34,value-82-35,value-82-36,value-82-37,value-82-38,value-82-39,value-82-40,value-82-41,value-82-42,value-82-43,value-82-44,value-82-45,value-82-46,value-82-47,value-82-48,value-82-49,value-82-50,value-82-51
